Purchases,day_engaged,Acceptance,Family,Income_Category_lower,Income_Category_middle,Income_Category_upper_middle,Income_Category_upper,Customer_Segment_Millennial,Customer_Segment_Gen X,Customer_Segment_Boomer,Customer_Segment_Silent,Education_Grad,Education_PostGrad,Education_Undergrad,clusters
21,612,0,3,0,0,1,0,0,1,0,0,1,0,0,2
7,660,0,3,1,0,0,0,1,0,0,0,0,1,0,1
4,738,0,3,1,0,0,0,0,0,1,0,1,0,0,1
9,422,0,1,0,1,0,0,0,0,1,0,0,1,0,1
8,456,0,3,1,0,0,0,0,1,0,0,0,1,0,1
16,187,0,1,0,0,1,0,0,1,0,0,1,0,0,0
10,783,0,2,1,0,0,0,1,0,0,0,0,1,0,1
5,587,0,3,0,1,0,0,0,1,0,0,1,0,0,1
10,365,0,4,0,1,0,0,0,0,0,1,1,0,0,1
28,784,0,4,0,0,1,0,0,0,1,0,0,1,0,2
17,234,0,2,0,0,1,0,0,0,1,0,1,0,0,0
29,873,0,2,0,0,1,0,0,0,1,0,0,1,0,2
7,729,0,2,0,1,0,0,0,1,0,0,1,0,0,1
21,208,2,1,0,0,1,0,0,1,0,0,1,0,0,0
23,568,0,4,0,0,1,0,0,1,0,0,1,0,0,2
27,773,1,2,0,0,1,0,0,0,1,0,0,1,0,2
21,639,0,1,0,0,1,0,0,0,1,0,1,0,0,2
6,248,0,2,1,0,0,0,1,0,0,0,1,0,0,1
7,563,0,2,0,1,0,0,1,0,0,0,1,0,0,1
19,304,0,3,0,1,0,0,0,1,0,0,0,1,0,0
21,546,2,1,0,0,1,0,1,0,0,0,0,1,0,0
22,846,0,4,0,0,1,0,0,1,0,0,1,0,0,2
24,682,0,2,0,0,1,0,0,0,0,1,1,0,0,2
19,569,0,2,0,0,1,0,0,0,0,1,0,1,0,0
16,391,0,2,0,0,1,0,0,0,0,1,1,0,0,0
5,590,0,3,1,0,0,0,0,1,0,0,1,0,0,1
4,235,0,4,0,1,0,0,0,0,1,0,1,0,0,1
32,288,2,2,0,0,0,1,0,1,0,0,0,1,0,0
18,461,0,3,0,0,1,0,0,0,1,0,1,0,0,0
19,633,0,5,0,0,1,0,0,1,0,0,1,0,0,2
21,842,0,2,0,0,1,0,0,0,1,0,0,1,0,2
9,839,0,3,0,1,0,0,0,1,0,0,0,1,0,1
30,655,0,3,0,0,1,0,0,0,1,0,1,0,0,2
24,636,1,4,0,0,1,0,0,1,0,0,0,1,0,2
8,246,0,2,1,0,0,0,0,0,0,1,1,0,0,1
4,743,0,2,0,1,0,0,0,1,0,0,1,0,0,1
19,857,0,2,0,0,1,0,0,1,0,0,0,1,0,2
22,811,1,1,0,0,1,0,0,1,0,0,1,0,0,2
4,484,0,2,1,0,0,0,0,1,0,0,0,1,0,1
21,729,1,2,0,1,0,0,0,0,1,0,1,0,0,2
12,855,0,2,0,1,0,0,1,0,0,0,1,0,0,2
4,557,0,3,1,0,0,0,0,1,0,0,1,0,0,1
9,547,0,3,1,0,0,0,0,1,0,0,0,1,0,1
11,600,0,2,0,1,0,0,0,0,1,0,0,1,0,1
27,310,0,1,0,0,1,0,1,0,0,0,1,0,0,0
7,508,0,4,1,0,0,0,0,0,1,0,1,0,0,1
13,534,1,4,0,1,0,0,0,1,0,0,0,1,0,1
17,218,2,2,0,1,0,0,0,0,1,0,1,0,0,0
19,234,1,2,0,0,1,0,0,1,0,0,1,0,0,0
10,345,0,3,0,1,0,0,0,0,1,0,1,0,0,1
29,773,0,5,0,1,0,0,0,0,1,0,0,1,0,2
4,219,0,3,0,1,0,0,0,0,1,0,1,0,0,1
15,404,0,2,0,1,0,0,0,1,0,0,0,1,0,1
5,284,0,2,0,1,0,0,0,1,0,0,0,1,0,1
10,222,0,3,1,0,0,0,0,1,0,0,0,1,0,1
6,224,0,3,0,1,0,0,1,0,0,0,1,0,0,1
22,770,1,2,0,1,0,0,0,0,1,0,1,0,0,2
7,630,0,3,0,1,0,0,0,1,0,0,1,0,0,1
25,396,1,2,0,0,1,0,0,0,0,1,0,1,0,0
16,560,0,2,0,1,0,0,1,0,0,0,0,1,0,1
7,527,0,2,0,1,0,0,0,0,1,0,0,1,0,1
7,277,0,2,0,1,0,0,0,0,1,0,0,1,0,1
27,621,0,3,0,0,1,0,0,1,0,0,1,0,0,2
16,594,0,2,0,0,1,0,0,0,0,1,0,1,0,2
20,238,0,2,0,0,0,1,0,0,1,0,1,0,0,0
5,387,0,3,1,0,0,0,0,1,0,0,0,0,1,1
13,464,0,4,0,1,0,0,0,0,1,0,1,0,0,1
26,698,0,4,0,1,0,0,0,1,0,0,1,0,0,2
9,743,0,2,0,1,0,0,0,1,0,0,1,0,0,1
14,755,0,2,0,0,0,1,0,0,1,0,0,1,0,2
24,425,0,3,0,0,1,0,0,1,0,0,1,0,0,0
17,782,1,1,0,0,1,0,1,0,0,0,0,1,0,2
20,190,1,3,0,1,0,0,0,0,1,0,0,1,0,0
25,729,2,1,0,0,0,1,1,0,0,0,1,0,0,2
21,750,0,3,0,1,0,0,0,1,0,0,0,1,0,2
8,478,0,3,0,1,0,0,0,0,1,0,1,0,0,1
15,342,2,2,0,0,0,1,0,1,0,0,1,0,0,0
20,681,0,3,0,1,0,0,0,1,0,0,0,1,0,2
7,539,0,4,0,1,0,0,0,0,1,0,0,1,0,1
7,413,0,3,1,0,0,0,0,1,0,0,1,0,0,1
22,560,0,3,0,1,0,0,0,0,0,1,0,1,0,2
9,311,0,2,0,1,0,0,0,0,1,0,0,1,0,1
6,484,0,4,1,0,0,0,1,0,0,0,0,1,0,1
5,619,0,2,0,1,0,0,0,1,0,0,1,0,0,1
27,660,3,1,0,0,0,1,1,0,0,0,1,0,0,0
16,682,0,2,0,0,1,0,0,0,1,0,0,1,0,2
16,620,0,1,0,0,1,0,1,0,0,0,1,0,0,0
8,207,0,4,0,1,0,0,0,0,0,1,0,1,0,1
17,539,0,3,0,1,0,0,0,0,1,0,0,1,0,1
23,236,0,4,0,0,1,0,0,0,1,0,0,1,0,0
19,458,0,3,0,0,1,0,0,0,0,1,1,0,0,0
23,662,0,3,0,0,1,0,0,0,1,0,0,1,0,2
19,325,0,2,0,0,1,0,0,1,0,0,1,0,0,0
19,508,0,3,0,1,0,0,0,0,1,0,1,0,0,2
16,505,0,4,0,1,0,0,0,0,1,0,0,1,0,1
23,655,1,2,0,0,1,0,0,0,1,0,0,1,0,2
6,876,0,2,1,0,0,0,0,1,0,0,0,0,1,1
9,543,0,5,0,1,0,0,0,0,1,0,0,1,0,1
6,227,1,3,0,1,0,0,0,1,0,0,0,1,0,1
7,522,0,3,0,1,0,0,0,0,1,0,0,1,0,1
22,804,0,1,0,0,0,1,1,0,0,0,0,1,0,2
17,413,0,3,0,0,1,0,0,1,0,0,0,1,0,0
23,622,0,2,0,0,0,1,0,0,1,0,1,0,0,2
25,491,0,2,0,0,1,0,0,1,0,0,0,1,0,0
12,653,0,3,0,1,0,0,1,0,0,0,1,0,0,1
15,805,0,4,0,0,1,0,0,1,0,0,1,0,0,2
6,795,0,3,1,0,0,0,0,1,0,0,1,0,0,1
4,491,0,3,0,1,0,0,0,1,0,0,1,0,0,1
16,862,0,5,0,1,0,0,0,1,0,0,0,1,0,2
8,194,0,2,0,1,0,0,0,0,1,0,0,1,0,1
16,252,0,4,0,0,1,0,0,0,0,1,0,1,0,0
19,300,1,3,0,0,1,0,0,1,0,0,1,0,0,0
17,748,0,3,0,1,0,0,0,1,0,0,0,1,0,2
11,234,0,2,0,1,0,0,1,0,0,0,1,0,0,1
26,814,0,3,0,0,1,0,0,0,0,1,0,1,0,2
21,681,2,2,0,0,1,0,0,0,0,1,1,0,0,2
15,542,0,2,0,1,0,0,0,0,1,0,1,0,0,1
4,476,0,4,0,0,1,0,0,1,0,0,1,0,0,1
9,441,0,3,0,1,0,0,0,1,0,0,1,0,0,1
18,499,0,1,0,0,1,0,0,0,1,0,1,0,0,0
4,549,0,4,0,1,0,0,0,0,1,0,0,1,0,1
27,787,0,2,0,0,1,0,0,0,0,1,0,1,0,2
11,361,0,3,1,0,0,0,1,0,0,0,1,0,0,1
20,610,0,1,0,0,1,0,0,1,0,0,0,1,0,0
9,414,0,5,0,1,0,0,0,0,1,0,1,0,0,1
18,409,1,1,0,0,1,0,0,0,0,1,1,0,0,0
12,491,1,1,0,1,0,0,0,0,1,0,1,0,0,0
15,425,0,1,0,0,1,0,1,0,0,0,1,0,0,0
9,310,0,4,1,0,0,0,0,0,1,0,1,0,0,1
6,255,0,4,0,1,0,0,0,0,1,0,1,0,0,1
7,537,0,3,1,0,0,0,1,0,0,0,1,0,0,1
8,255,0,4,0,1,0,0,0,1,0,0,1,0,0,1
8,336,0,4,0,1,0,0,0,0,1,0,0,1,0,1
7,272,1,2,0,1,0,0,0,0,1,0,1,0,0,1
28,841,0,3,0,0,1,0,0,1,0,0,0,1,0,2
25,746,2,2,0,0,1,0,0,0,0,1,0,1,0,2
7,223,0,4,0,1,0,0,0,1,0,0,0,1,0,1
4,191,0,5,0,1,0,0,0,0,1,0,1,0,0,1
25,396,1,2,0,0,1,0,0,0,0,1,0,1,0,0
10,235,0,3,0,1,0,0,0,1,0,0,0,1,0,1
9,236,0,3,1,0,0,0,1,0,0,0,0,1,0,1
24,460,0,2,0,0,1,0,0,0,0,1,0,1,0,0
6,344,0,3,0,1,0,0,1,0,0,0,0,1,0,1
6,200,0,2,1,0,0,0,0,0,1,0,0,0,1,1
5,757,0,3,1,0,0,0,1,0,0,0,1,0,0,1
7,299,0,2,0,1,0,0,0,1,0,0,0,1,0,1
18,517,0,3,0,0,1,0,0,0,1,0,1,0,0,2
24,653,0,2,0,0,1,0,0,1,0,0,1,0,0,2
7,677,0,4,0,1,0,0,0,0,1,0,0,1,0,1
5,844,1,3,1,0,0,0,0,1,0,0,0,0,1,1
28,594,0,2,0,0,1,0,1,0,0,0,0,1,0,2
8,581,0,3,0,1,0,0,1,0,0,0,1,0,0,1
16,682,0,4,0,1,0,0,0,1,0,0,1,0,0,1
6,368,0,4,0,1,0,0,0,1,0,0,1,0,0,1
23,233,0,2,0,0,1,0,0,1,0,0,0,1,0,0
17,469,1,2,0,0,1,0,0,0,1,0,1,0,0,0
17,714,0,2,0,0,0,1,0,0,1,0,1,0,0,2
15,276,1,3,0,1,0,0,0,1,0,0,0,1,0,1
19,186,1,2,0,0,1,0,0,0,0,1,1,0,0,0
18,388,0,1,0,0,1,0,0,1,0,0,1,0,0,0
29,444,0,2,0,0,1,0,0,1,0,0,1,0,0,0
26,790,3,2,0,0,0,1,0,1,0,0,0,1,0,2
6,533,0,3,0,1,0,0,0,0,1,0,0,1,0,1
4,782,1,1,1,0,0,0,1,0,0,0,0,1,0,1
5,389,1,3,1,0,0,0,1,0,0,0,1,0,0,1
17,598,0,3,0,1,0,0,0,0,1,0,0,1,0,2
6,207,0,3,0,1,0,0,0,0,1,0,1,0,0,1
29,843,1,2,0,0,1,0,0,0,1,0,1,0,0,2
15,641,0,3,0,1,0,0,0,0,1,0,1,0,0,1
20,289,0,2,0,0,1,0,0,0,1,0,1,0,0,0
19,818,0,4,0,1,0,0,0,1,0,0,0,1,0,2
26,710,0,4,0,1,0,0,0,1,0,0,0,1,0,2
17,607,0,2,0,0,1,0,1,0,0,0,1,0,0,2
20,275,0,3,0,1,0,0,0,1,0,0,1,0,0,0
4,234,0,4,0,1,0,0,0,1,0,0,0,1,0,1
25,412,2,2,0,0,1,0,0,0,0,1,0,1,0,0
12,488,0,2,0,1,0,0,0,0,1,0,0,1,0,1
28,778,0,3,0,0,1,0,0,1,0,0,1,0,0,2
7,265,0,3,0,1,0,0,1,0,0,0,0,1,0,1
16,413,0,2,0,0,1,0,0,1,0,0,1,0,0,0
22,262,0,4,0,0,1,0,0,1,0,0,0,1,0,0
13,726,0,3,0,1,0,0,0,1,0,0,0,1,0,1
32,845,0,2,0,0,1,0,0,0,1,0,1,0,0,2
12,646,0,3,0,1,0,0,0,1,0,0,1,0,0,1
16,798,0,3,0,1,0,0,0,1,0,0,1,0,0,2
18,753,0,2,0,1,0,0,0,0,0,1,1,0,0,2
17,876,0,2,0,0,1,0,0,1,0,0,0,1,0,2
4,319,0,3,0,1,0,0,1,0,0,0,0,1,0,1
23,652,0,3,0,1,0,0,0,0,1,0,1,0,0,2
14,726,1,2,0,0,1,0,0,0,1,0,0,1,0,2
4,596,0,3,0,1,0,0,0,1,0,0,1,0,0,1
5,260,0,1,1,0,0,0,0,0,0,1,1,0,0,1
29,649,0,3,0,0,1,0,0,0,1,0,0,1,0,2
8,388,0,3,1,0,0,0,0,1,0,0,0,1,0,1
5,393,0,3,1,0,0,0,1,0,0,0,0,1,0,1
19,454,0,2,0,0,1,0,0,0,1,0,0,1,0,0
11,371,0,2,1,0,0,0,0,1,0,0,1,0,0,1
22,430,1,1,0,0,1,0,0,1,0,0,1,0,0,0
16,739,0,3,0,0,1,0,0,0,1,0,1,0,0,2
5,519,0,2,1,0,0,0,0,1,0,0,1,0,0,1
22,399,1,2,0,0,1,0,1,0,0,0,1,0,0,0
31,867,0,3,0,0,1,0,0,0,1,0,1,0,0,2
6,210,0,4,0,1,0,0,0,0,1,0,0,1,0,1
16,591,3,3,0,0,1,0,0,1,0,0,1,0,0,2
21,722,0,3,0,0,1,0,0,0,0,1,1,0,0,2
20,853,0,2,0,0,1,0,1,0,0,0,0,1,0,2
25,794,0,3,0,0,1,0,0,1,0,0,0,1,0,2
7,472,0,2,0,1,0,0,0,1,0,0,0,1,0,1
6,431,0,2,0,1,0,0,1,0,0,0,1,0,0,1
29,636,4,1,0,0,0,1,0,1,0,0,1,0,0,0
11,831,0,2,1,0,0,0,0,0,1,0,0,1,0,2
26,855,0,4,0,0,1,0,0,0,1,0,1,0,0,2
6,810,0,2,0,1,0,0,0,1,0,0,0,1,0,1
19,807,1,3,0,0,1,0,0,0,1,0,0,1,0,2
16,801,0,2,0,1,0,0,0,0,1,0,1,0,0,2
10,576,0,3,1,0,0,0,0,0,1,0,1,0,0,1
4,389,0,4,0,1,0,0,0,0,1,0,0,1,0,1
6,813,1,2,1,0,0,0,0,1,0,0,1,0,0,1
25,589,0,3,0,0,1,0,0,1,0,0,0,1,0,2
15,198,0,3,0,1,0,0,0,1,0,0,0,1,0,1
4,769,0,3,0,1,0,0,0,1,0,0,0,1,0,1
17,697,0,4,0,1,0,0,0,0,0,1,0,1,0,2
11,658,0,4,0,1,0,0,0,0,1,0,0,1,0,1
19,189,1,2,0,0,1,0,0,0,1,0,1,0,0,0
11,808,1,4,0,1,0,0,0,1,0,0,0,1,0,1
13,561,0,2,0,0,1,0,0,1,0,0,1,0,0,0
8,454,0,3,1,0,0,0,0,1,0,0,1,0,0,1
14,831,0,1,0,0,1,0,0,0,0,1,1,0,0,2
10,287,0,2,0,1,0,0,1,0,0,0,0,1,0,1
12,331,0,3,0,0,1,0,0,1,0,0,0,1,0,1
10,270,0,4,1,0,0,0,0,0,1,0,1,0,0,1
9,694,0,3,0,1,0,0,0,0,1,0,1,0,0,1
23,472,0,3,0,0,1,0,0,0,1,0,0,1,0,0
23,714,0,1,0,0,1,0,0,0,1,0,1,0,0,2
12,246,0,2,0,0,1,0,0,1,0,0,0,1,0,0
17,639,1,1,0,0,1,0,1,0,0,0,0,1,0,0
22,620,0,2,0,0,1,0,0,1,0,0,0,1,0,2
10,689,0,3,1,0,0,0,0,1,0,0,0,0,1,1
16,798,0,3,0,1,0,0,0,1,0,0,1,0,0,2
13,853,0,2,0,1,0,0,0,0,0,1,1,0,0,2
15,306,0,3,0,0,1,0,0,1,0,0,0,1,0,0
7,259,0,4,0,1,0,0,0,1,0,0,0,1,0,1
7,538,0,3,0,1,0,0,0,1,0,0,1,0,0,1
23,702,0,2,0,0,1,0,0,0,0,1,1,0,0,2
33,723,0,4,0,1,0,0,0,0,1,0,0,1,0,2
22,234,0,1,0,0,1,0,0,0,1,0,1,0,0,0
16,567,0,1,0,1,0,0,0,0,0,1,0,1,0,0
5,546,1,2,0,1,0,0,1,0,0,0,0,1,0,1
10,370,0,3,0,1,0,0,0,1,0,0,1,0,0,1
19,792,1,2,0,0,1,0,0,1,0,0,1,0,0,2
9,351,0,4,1,0,0,0,0,1,0,0,1,0,0,1
4,660,0,4,1,0,0,0,0,0,1,0,1,0,0,1
23,861,2,3,0,1,0,0,0,0,0,1,0,1,0,2
5,665,0,2,0,1,0,0,1,0,0,0,0,1,0,1
7,718,0,3,0,1,0,0,1,0,0,0,0,1,0,1
12,719,0,1,0,0,1,0,1,0,0,0,1,0,0,2
28,290,1,2,0,0,1,0,0,0,1,0,0,1,0,0
11,260,0,3,0,1,0,0,0,0,1,0,1,0,0,1
21,446,0,3,0,0,1,0,0,0,1,0,0,1,0,0
7,306,0,3,0,1,0,0,0,1,0,0,0,1,0,1
13,263,0,2,0,1,0,0,1,0,0,0,1,0,0,1
10,370,0,3,1,0,0,0,1,0,0,0,1,0,0,1
23,644,1,2,0,0,1,0,0,0,1,0,0,1,0,2
7,835,0,1,1,0,0,0,0,0,1,0,1,0,0,2
18,302,1,1,0,0,1,0,0,0,0,1,1,0,0,0
18,478,1,3,0,0,1,0,0,0,1,0,0,1,0,0
11,614,0,2,0,1,0,0,1,0,0,0,0,1,0,1
11,348,0,2,1,0,0,0,0,1,0,0,1,0,0,1
7,430,0,5,1,0,0,0,0,0,1,0,1,0,0,1
24,577,2,2,0,1,0,0,1,0,0,0,1,0,0,0
23,694,0,1,0,0,1,0,0,1,0,0,0,1,0,2
16,380,0,4,0,1,0,0,0,0,1,0,1,0,0,1
7,296,0,4,1,0,0,0,0,0,1,0,0,1,0,1
8,521,0,4,0,1,0,0,0,1,0,0,1,0,0,1
15,870,0,2,0,0,1,0,1,0,0,0,1,0,0,2
6,534,0,4,0,1,0,0,0,0,0,1,1,0,0,1
21,496,2,4,0,1,0,0,0,1,0,0,1,0,0,2
21,714,0,3,0,0,1,0,0,1,0,0,1,0,0,2
4,549,0,3,0,1,0,0,0,1,0,0,1,0,0,1
4,326,0,3,0,1,0,0,0,0,1,0,0,1,0,1
23,693,0,2,0,0,1,0,0,0,1,0,0,1,0,2
24,720,0,2,0,1,0,0,0,0,0,1,1,0,0,2
18,545,0,2,0,0,1,0,0,0,1,0,1,0,0,0
9,548,0,2,1,0,0,0,0,1,0,0,0,1,0,1
5,420,0,3,1,0,0,0,1,0,0,0,1,0,0,1
5,602,0,5,0,1,0,0,0,0,0,1,0,1,0,1
12,687,0,2,0,1,0,0,1,0,0,0,0,1,0,1
4,625,0,2,1,0,0,0,1,0,0,0,1,0,0,1
6,477,0,1,0,1,0,0,1,0,0,0,0,1,0,1
19,638,0,3,0,0,1,0,0,0,1,0,0,1,0,2
5,721,1,3,0,1,0,0,0,1,0,0,0,1,0,1
7,550,0,3,1,0,0,0,1,0,0,0,1,0,0,1
22,841,0,3,0,0,1,0,0,0,1,0,1,0,0,2
22,756,3,1,0,0,1,0,0,1,0,0,1,0,0,2
5,780,0,3,0,1,0,0,0,1,0,0,1,0,0,1
22,669,1,2,0,0,1,0,0,0,1,0,1,0,0,2
21,874,0,1,0,0,1,0,1,0,0,0,1,0,0,2
8,390,0,1,0,1,0,0,1,0,0,0,1,0,0,1
20,769,2,3,0,1,0,0,0,1,0,0,0,1,0,2
18,567,0,3,0,0,1,0,0,0,0,1,0,1,0,2
4,504,1,3,1,0,0,0,0,1,0,0,0,0,1,1
16,417,0,1,0,0,1,0,0,0,0,1,1,0,0,0
6,557,0,4,0,1,0,0,0,0,1,0,1,0,0,1
15,199,0,1,0,0,1,0,0,1,0,0,1,0,0,0
8,737,0,3,0,1,0,0,0,1,0,0,1,0,0,1
4,363,1,3,0,1,0,0,0,1,0,0,0,1,0,1
26,380,0,3,0,0,1,0,0,0,1,0,1,0,0,0
22,721,2,3,0,0,1,0,1,0,0,0,1,0,0,2
18,430,0,1,0,0,1,0,0,0,1,0,0,1,0,0
18,796,0,2,0,0,1,0,0,1,0,0,1,0,0,2
24,740,0,2,0,0,1,0,0,1,0,0,0,1,0,2
7,398,0,3,0,1,0,0,0,1,0,0,1,0,0,1
7,600,1,3,0,1,0,0,0,0,1,0,1,0,0,1
15,750,0,2,0,0,1,0,0,1,0,0,0,1,0,2
14,499,0,2,0,0,1,0,0,0,0,1,0,1,0,0
16,450,0,4,0,1,0,0,0,0,0,1,0,1,0,1
22,825,1,2,0,0,1,0,0,0,1,0,1,0,0,2
21,285,0,2,0,0,1,0,0,1,0,0,0,1,0,0
10,311,0,4,1,0,0,0,0,1,0,0,1,0,0,1
4,769,0,3,0,1,0,0,0,1,0,0,0,1,0,1
22,734,0,4,0,1,0,0,0,0,1,0,1,0,0,2
19,863,0,2,0,1,0,0,0,1,0,0,1,0,0,2
26,594,0,2,0,0,1,0,0,0,1,0,1,0,0,2
7,656,0,2,0,1,0,0,0,1,0,0,1,0,0,1
16,775,0,2,0,0,1,0,0,0,1,0,1,0,0,2
16,761,0,2,0,1,0,0,0,1,0,0,0,1,0,2
5,254,0,3,0,1,0,0,1,0,0,0,0,1,0,1
16,795,0,4,0,1,0,0,0,1,0,0,1,0,0,2
5,490,1,2,1,0,0,0,0,1,0,0,0,1,0,1
23,781,1,2,0,0,1,0,0,0,1,0,1,0,0,2
9,558,0,3,0,1,0,0,0,1,0,0,0,1,0,1
11,866,0,3,0,1,0,0,0,1,0,0,0,1,0,2
5,654,1,1,1,0,0,0,0,1,0,0,1,0,0,1
5,732,0,2,0,1,0,0,1,0,0,0,1,0,0,1
20,456,0,3,0,0,1,0,0,0,1,0,0,1,0,0
5,566,0,2,0,1,0,0,0,1,0,0,1,0,0,1
4,723,0,4,0,1,0,0,0,1,0,0,0,1,0,1
4,413,0,3,1,0,0,0,1,0,0,0,1,0,0,1
14,750,0,1,1,0,0,0,0,0,1,0,1,0,0,2
16,862,0,5,0,1,0,0,0,1,0,0,0,1,0,2
4,277,0,2,0,1,0,0,0,1,0,0,0,1,0,1
8,596,0,2,1,0,0,0,0,1,0,0,1,0,0,1
17,442,1,3,0,1,0,0,0,1,0,0,0,1,0,1
26,818,0,3,0,0,1,0,0,0,1,0,1,0,0,2
7,854,0,3,0,1,0,0,0,0,0,1,1,0,0,1
19,603,0,3,0,0,1,0,0,1,0,0,0,1,0,2
19,363,1,2,0,0,0,1,0,1,0,0,1,0,0,0
12,388,0,3,0,0,1,0,0,1,0,0,0,1,0,1
16,242,0,1,0,0,1,0,1,0,0,0,1,0,0,0
10,623,0,2,0,1,0,0,0,0,0,1,0,1,0,1
23,310,0,3,0,0,1,0,0,1,0,0,0,1,0,0
24,452,0,2,0,0,1,0,1,0,0,0,0,1,0,0
12,838,0,4,0,1,0,0,0,1,0,0,1,0,0,1
6,853,0,3,1,0,0,0,1,0,0,0,1,0,0,1
5,738,0,2,1,0,0,0,1,0,0,0,1,0,0,1
11,783,0,3,1,0,0,0,0,1,0,0,0,1,0,1
10,649,0,3,0,1,0,0,0,0,1,0,0,1,0,1
23,826,0,2,0,0,1,0,0,0,1,0,1,0,0,2
13,504,0,3,0,1,0,0,0,1,0,0,1,0,0,1
11,661,0,2,0,1,0,0,0,0,1,0,1,0,0,1
24,436,1,4,0,1,0,0,0,0,1,0,0,1,0,0
5,206,0,4,0,1,0,0,0,0,1,0,1,0,0,1
9,854,0,2,1,0,0,0,0,1,0,0,0,1,0,2
14,216,0,3,0,0,1,0,0,1,0,0,0,1,0,0
6,574,0,3,0,1,0,0,0,1,0,0,0,1,0,1
19,806,0,4,0,1,0,0,0,0,1,0,1,0,0,2
8,775,0,2,1,0,0,0,1,0,0,0,0,1,0,1
17,783,0,3,0,1,0,0,0,1,0,0,1,0,0,2
35,642,1,3,0,0,1,0,0,0,1,0,0,1,0,2
16,862,0,2,0,1,0,0,1,0,0,0,1,0,0,2
19,708,0,3,0,0,1,0,0,0,1,0,1,0,0,2
19,276,0,2,0,0,1,0,0,0,0,1,0,1,0,0
9,407,1,3,1,0,0,0,0,1,0,0,0,1,0,1
21,321,4,2,0,0,1,0,1,0,0,0,1,0,0,0
26,678,2,1,0,0,0,1,0,1,0,0,1,0,0,2
29,667,0,4,0,1,0,0,0,1,0,0,0,1,0,2
7,240,0,3,0,1,0,0,0,1,0,0,0,1,0,1
6,224,0,3,0,1,0,0,1,0,0,0,1,0,0,1
4,210,0,3,1,0,0,0,1,0,0,0,0,1,0,1
16,576,2,2,0,0,1,0,0,1,0,0,0,1,0,0
22,628,1,2,0,0,0,1,0,0,0,1,0,1,0,2
4,393,0,5,0,1,0,0,0,0,0,1,1,0,0,1
27,252,3,2,0,0,0,1,1,0,0,0,1,0,0,0
19,271,2,3,0,0,1,0,1,0,0,0,1,0,0,0
7,242,0,3,1,0,0,0,1,0,0,0,0,1,0,1
24,616,0,3,0,0,1,0,0,1,0,0,1,0,0,2
16,602,4,1,0,0,1,0,0,0,1,0,0,1,0,0
21,794,0,3,0,1,0,0,1,0,0,0,1,0,0,2
